Date,TSE
2020/3/3,11468.60 
2020/3/4,11436.96 
2020/3/5,11184.66 
2020/3/6,11279.86 
2020/3/9,11368.25 
2020/3/10,11454.65 
2020/3/11,11471.36 
2020/3/12,11221.76 
2020/3/13,10907.62 
2020/3/16,11022.82 
2020/3/17,10845.39 
2020/3/18,10091.03 
2020/3/19,10069.42 
2020/3/20,9538.64 
2020/3/23,9453.98 
2020/3/24,9085.28 
2020/3/25,8816.86 
2020/3/26,9025.55 
2020/3/27,9083.78 
2020/3/30,9426.43 
2020/3/31,9667.14 
2020/4/1,9807.90 
2020/4/6,9571.22 
2020/4/7,9689.62 
2020/4/8,9726.20 
2020/4/9,9707.75 
2020/4/10,9928.16 
2020/4/13,10010.64 
2020/4/14,10173.26 
2020/4/15,10105.43 
2020/4/16,10147.56 
2020/4/17,10130.65 
2020/4/20,10366.77 
2020/4/21,10385.78 
2020/4/22,10554.55 
2020/4/23,10612.45 
2020/4/24,10544.80 
2020/4/27,10256.11 
2020/4/28,10370.13 
2020/4/29,10367.97 
2020/4/30,10407.49 
2020/5/4,10580.25 
2020/5/5,10656.40 
2020/5/6,10826.26 
2020/5/7,10781.51 
2020/5/8,10756.95 
2020/5/11,10771.09 
2020/5/12,10778.53 
2020/5/13,10883.22 
2020/5/14,10942.18 
2020/5/15,10974.51 
2020/5/18,10861.01 
2020/5/19,10894.17 
2020/5/20,10833.16 
2020/5/21,10753.21 
2020/5/22,10812.79 
2020/5/25,10892.76 
2020/5/26,10933.21 
2020/5/27,10977.55 
2020/5/28,10812.94 
2020/5/29,10903.32 
2020/6/1,11023.93 
2020/6/2,11040.62 
2020/6/3,10921.16 
2020/6/4,10971.40 
2020/6/5,11109.27 
2020/6/8,11182.52 
2020/6/9,11373.94 
2020/6/10,11418.01 
2020/6/11,11539.00 
2020/6/12,11600.61 
2020/6/15,11635.99 
2020/6/16,11738.49 
2020/6/17,11406.54 
2020/6/18,11436.28 
2020/6/19,11380.67 
2020/6/22,11525.50 
